,Year,Month,Delhi,Hyderabad,Mumbai,Bangalore,Kolkata,Chennai,Pune,Kanpur,Surat,Ahmedabad,Mean,Median
50,2018,3,0.1289540500865754,0.1388064200748306,0.2939921755413461,0.1293594629118261,,0.2846398196189059,,0.1457702945628305,0.1452639433239577,0.1187495372851346,0.17319196292567585,0.1452639433239577
51,2018,4,0.3391876766757808,0.1291511130917908,0.2860211849177034,0.121546274499832,0.1845043827086621,0.3944423413684563,0.156729977752237,,0.1619852806988221,0.1100207960189848,0.20928766974802993,0.1732448317037421
52,2018,5,0.1927593255716554,,0.4690316969751145,0.1290541122577616,0.1885818129310442,,0.1398583660262799,0.0817729020336482,0.1665638321766811,0.0931840778624429,0.18260076572932848,0.1665638321766811
57,2018,10,0.099260209329711,0.129739320077085,0.2663058873436697,,,,0.1214590357038235,0.1316182503801279,0.1450588073069313,0.0990512089141989,0.1417846741507925,0.13067878522860643
58,2018,11,,0.1417628609114592,0.2767857940378927,0.4811036508214573,0.1481016739678496,,,0.1030542276413523,0.1299038010290799,0.0949534861444208,0.19652364207907308,0.1449322674396544
59,2018,12,0.17847204022557,0.138138663197199,,,0.1202854165354329,,0.1644163979116377,,,0.1024050563510419,0.1407435148441763,0.13944108902068764
60,2019,1,0.145857135620216,0.117969539073742,0.268092356567734,0.1149702409082692,0.1138280533627748,0.2600692339725758,0.1548363501423112,0.1126093739540906,0.1521123675134612,0.1385850268188525,0.15789296779340273,0.145857135620216
61,2019,2,,0.1352798876808237,0.2993271973394372,0.2283151908366714,0.1277416952768301,0.3092952745196063,0.1612584793157517,0.1395454312636159,0.1113642814845451,0.1016467789414176,0.17930824629541098,0.1504019552896838
62,2019,3,0.0973531932265376,0.1335964393702309,0.3485781380377133,0.1173430535033709,0.1287739170357791,0.2153108509031551,0.162229770476073,0.1532480877901736,0.1451370122229018,0.1189112183210178,0.16204816808869532,0.1451370122229018
63,2019,4,0.1211429406509448,0.1484687013604666,0.2894433000952895,0.124008741652826,0.1731578667729961,0.2394988789941718,0.1498400348894796,0.0947015414574563,0.1388259686600303,0.1003745825706877,0.15794625571043489,0.1484687013604666
64,2019,5,0.1187591046389651,0.2609648411259074,0.292272671524094,0.1763806698771786,0.1337720612060262,,0.1512888584261446,0.1359211292503434,0.1442557819445928,0.0988849840275595,0.16805556689120127,0.14777232018536868
69,2019,10,0.1108022604307125,,0.2647221361033532,,0.1336346534926471,,0.1896420052241182,,,0.2314478781651014,0.18604978668318647,0.18784589595365234
70,2019,11,0.1452391962183789,0.3149031855964239,0.2522344039028407,,0.1192328645732256,0.2632769961822107,0.1336610322398727,,0.2052962100445801,0.1319713991579171,0.19572691098943118,0.19572691098943118
71,2019,12,0.1134491566481435,,,,0.1227986563672124,0.2433405969231444,0.1382505490472744,0.1207287370139122,15.231197338813812,,2.6616275058022496,0.1382505490472744
72,2020,1,0.2289566034586131,0.1190572360613659,0.3485780480042946,0.1295221360868292,0.1058294392301814,0.2132966013989562,0.144695703406584,0.0946053097937785,0.1131292270816904,0.1303847451701067,0.16280550496924,0.1303847451701067
73,2020,2,0.1328804425954817,,0.3021611653545483,0.1257631843190088,0.1218102331915678,0.1853198012503089,0.1359969519415208,0.1715710928161266,0.1349896557356028,0.1382650477595907,0.1609730638848618,0.13713099985055577
74,2020,3,0.1505601785570588,0.1769829636069189,0.4628619924214983,0.1277201250125184,0.3668582052130079,0.2707566031767517,0.1426095225921443,,0.2429216408780488,0.1679187541197854,0.23435444284197027,0.20566870322444458
75,2020,4,,0.1364049745915189,0.3013733371877154,0.1271969417625341,,0.3119455812533567,0.1420846247819072,0.1024739170686487,0.2106082664333967,0.1200189937093477,0.1815133295985532,0.1420846247819072
76,2020,5,0.1215585401043809,,0.3307736938517108,0.3311877637077862,0.1826325736090283,,0.1312334992670626,0.1004958181002264,0.1743106157368149,0.0992160317882863,0.18392606702066203,0.1743106157368149
81,2020,10,0.135166475879328,0.6513175856773535,0.4548366828183176,0.39303389768388,,,,0.1224504394581126,0.1907337267130682,0.1162478164549388,0.29482666066928553,0.24278019369117687
82,2020,11,0.1289979074987682,0.0976934975268353,0.2583852631784876,0.2425638458260593,0.1304419066072318,0.1844194216288577,0.1288418153172027,,0.1191366539091093,0.1055503258490148,0.15511451526017409,0.129719907053
83,2020,12,0.136382616567541,0.1155218330292011,0.2420611841745265,0.3306405714239714,0.1106740255829851,0.1749425685055261,0.1236952942075875,0.1413182449677962,0.1126646196657133,0.1048591751763743,0.15927601333012226,0.136382616567541
84,2021,1,0.7627056929473636,0.1528721801507072,,,0.1102939468873459,0.2389735031139715,0.1509716467962398,0.1748519821221814,0.1137921166416765,0.1154227328102537,0.22748547518371745,0.1528721801507072
85,2021,2,0.1126021257671926,0.1477105377931989,0.3176184688744224,0.1236020706811135,0.1347505071996802,0.1924497470458122,0.1467587117185839,0.1415348796802306,0.1518491727930272,0.1343851814913219,0.16032614030445833,0.1467587117185839
86,2021,3,0.0882524462901264,0.1426114668212616,0.3049501983514219,,0.1702531000369446,0.2212942461842352,,0.1454824847888661,0.1543398891938222,0.1207498132437096,0.16849170561379845,0.1543398891938222
87,2021,4,0.1047696790475613,0.1188370316146637,0.2859202980670168,0.1412716482692128,0.2058424904216314,0.2400730270825489,,0.0956692371468347,0.1692631327371875,0.1214636428241399,0.16479002080119967,0.15303083453520622
88,2021,5,0.1233129198603118,0.2785895515128132,,0.4407325573020345,1.2349215692942417,,0.1491881897233818,0.0920027692102903,,0.2754563781797824,0.3706005621546936,0.27702296484629785
93,2021,10,0.3573851912935056,0.1853694483275893,0.2988969321759543,,,0.2923894926365748,,0.108746376960132,0.2534342051155322,0.1208640975802154,0.2310122491556434,0.2422232271355878
94,2021,11,0.078690376494729,,0.2497973918675595,,0.1388081841420719,,,0.0892993763289282,0.1132746591690705,0.0994083263969643,0.12821305239988723,0.1132746591690705
95,2021,12,0.1143839932863429,,0.2064893256768641,,0.0879386026176873,0.2588339574368545,0.14143716502592,0.1205912918853957,0.0983514108121301,0.1251431465678869,0.1441461116636352,0.1251431465678869
